25.390902,1.500000
28.766832,1.530000
33.134304,1.560000
38.791803,1.590000
46.082642,1.620000
55.365441,1.650000
66.955534,1.680000
81.034711,1.710000
97.546814,1.740000
116.135100,1.770000
136.228993,1.800000
157.440363,1.830000
180.520892,1.860000
209.552773,1.890000
257.826214,1.920000
365.127196,1.950000
637.090162,1.980000
1227.603886,2.010000
1856.376945,2.040000
1634.561948,2.070000
911.322889,2.100000
436.626681,2.130000
222.102013,2.160000
128.657507,2.190000
84.136270,2.220000
60.208827,2.250000
45.870559,2.280000
36.514272,2.310000
30.006783,2.340000
25.257905,2.370000
21.661226,2.400000
18.855563,2.430000
16.613788,2.460000
14.786686,2.490000
13.272625,2.520000
12.000239,2.550000
10.918064,2.580000
9.988123,2.610000
9.181805,2.640000
8.477158,2.670000
7.857063,2.700000
7.307978,2.730000
6.819045,2.760000
6.381463,2.790000
5.988024,2.820000
5.632767,2.850000
5.310725,2.880000
5.017727,2.910000
4.750247,2.940000
4.505288,2.970000
